Words	Counts
vedno	12
nov	24
center	15
razvoj	23
dati	9
umetno	1
svet	18
dober	9
potem	10
pomemben	8
kader	6
uporabljati	8
življenje	8
uporaba	20
način	6
zadeva	7
več	7
področje	38
pravosodje	6
digitalen	28
trenutno	9
program	12
lahko	31
bolj	6
tehnologija	36
sam	6
iti	18
čas	14
napreden	12
robotika	6
mednaroden	7
oblak	7
stvar	7
rešitev	7
podjetje	14
človekov	6
postopek	10
praviti	6
sistem	20
inteligenca	1
del	10
etičen	6
pravica	7
revolucija	7
umeten	1
leto	20
računalništvo	9
industrijski	9
delo	10
danes	9
podatek	10
človek	19
okolje	7
tehnološki	8
mesto	7
primer	16
internet	8
reči	12
digitalizacija	19
zelo	9
govoriti	17
nacionalen	10
stran	11
